VIX Index;;;UX1 Index;;;UX2 Index;;;UX3 Index;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
#NOM?;25,61;;#NOM?;26,3;;#NOM?;27,95;;#NOM?;28,1
16/04/14;14,18;;16/04/14;15,9;;16/04/14;16,35;;16/04/14;16,8
17/04/14;13,36;;17/04/14;15,6;;17/04/14;16,1;;17/04/14;16,7
21/04/14;13,25;;21/04/14;15,4;;21/04/14;16,05;;21/04/14;16,65
22/04/14;13,19;;22/04/14;15,25;;22/04/14;15,85;;22/04/14;16,5
23/04/14;13,27;;23/04/14;15,4;;23/04/14;15,8;;23/04/14;16,45
24/04/14;13,32;;24/04/14;15,5;;24/04/14;16,05;;24/04/14;16,55
25/04/14;14,06;;25/04/14;15,6;;25/04/14;16,2;;25/04/14;16,65
28/04/14;13,97;;28/04/14;15,2;;28/04/14;15,9;;28/04/14;16,4
29/04/14;13,71;;29/04/14;15;;29/04/14;15,7;;29/04/14;16,2
30/04/14;13,41;;30/04/14;15;;30/04/14;15,75;;30/04/14;16,25
01/05/14;13,25;;01/05/14;14,9;;01/05/14;15,75;;01/05/14;16,2
02/05/14;12,91;;02/05/14;14,9;;02/05/14;15,85;;02/05/14;16,3
05/05/14;13,29;;05/05/14;14,6;;05/05/14;15,6;;05/05/14;16,1
06/05/14;13,8;;06/05/14;14,75;;06/05/14;15,8;;06/05/14;16,3
07/05/14;13,4;;07/05/14;14,4;;07/05/14;15,45;;07/05/14;16
08/05/14;13,43;;08/05/14;14,45;;08/05/14;15,45;;08/05/14;16
09/05/14;12,92;;09/05/14;14,05;;09/05/14;15,2;;09/05/14;15,75
12/05/14;12,23;;12/05/14;13,5;;12/05/14;14,8;;12/05/14;15,45
13/05/14;12,13;;13/05/14;13,5;;13/05/14;14,85;;13/05/14;15,5
14/05/14;12,17;;14/05/14;13,25;;14/05/14;14,75;;14/05/14;15,45
15/05/14;13,17;;15/05/14;13,7;;15/05/14;14,9;;15/05/14;15,55
16/05/14;12,44;;16/05/14;13,25;;16/05/14;14,65;;16/05/14;15,4
19/05/14;12,42;;19/05/14;13;;19/05/14;14,35;;19/05/14;15,1
20/05/14;12,96;;20/05/14;13,05;;20/05/14;14,4;;20/05/14;15,15
21/05/14;11,91;;21/05/14;14,1;;21/05/14;15,05;;21/05/14;15,65
22/05/14;12,03;;22/05/14;14,05;;22/05/14;15,1;;22/05/14;15,7
23/05/14;11,36;;23/05/14;13,9;;23/05/14;15,05;;23/05/14;15,75
27/05/14;11,51;;27/05/14;13,45;;27/05/14;14,65;;27/05/14;15,4
28/05/14;11,68;;28/05/14;13,45;;28/05/14;14,75;;28/05/14;15,5
29/05/14;11,57;;29/05/14;13,3;;29/05/14;14,7;;29/05/14;15,5
30/05/14;11,4;;30/05/14;13,3;;30/05/14;14,8;;30/05/14;15,6
02/06/14;11,58;;02/06/14;13,2;;02/06/14;14,75;;02/06/14;15,6
03/06/14;11,87;;03/06/14;13,3;;03/06/14;14,75;;03/06/14;15,5
04/06/14;12,08;;04/06/14;13,2;;04/06/14;14,55;;04/06/14;15,3
05/06/14;11,68;;05/06/14;12,65;;05/06/14;14,05;;05/06/14;14,9
06/06/14;10,73;;06/06/14;12;;06/06/14;13,3;;06/06/14;14,25
09/06/14;11,15;;09/06/14;12,2;;09/06/14;13,45;;09/06/14;14,4
10/06/14;10,99;;10/06/14;12,05;;10/06/14;13,25;;10/06/14;14,25
11/06/14;11,6;;11/06/14;12,5;;11/06/14;13,5;;11/06/14;14,4
12/06/14;12,56;;12/06/14;13,2;;12/06/14;14,15;;12/06/14;14,9
13/06/14;12,18;;13/06/14;12,95;;13/06/14;13,8;;13/06/14;14,6
16/06/14;12,65;;16/06/14;13,05;;16/06/14;13,8;;16/06/14;14,5
17/06/14;12,06;;17/06/14;12,35;;17/06/14;13,45;;17/06/14;14,3
18/06/14;10,61;;18/06/14;12,7;;18/06/14;13,7;;18/06/14;14,75
19/06/14;10,62;;19/06/14;12,8;;19/06/14;13,8;;19/06/14;14,75
20/06/14;10,85;;20/06/14;12,9;;20/06/14;13,9;;20/06/14;14,8
23/06/14;10,98;;23/06/14;12,6;;23/06/14;13,7;;23/06/14;14,6
24/06/14;12,13;;24/06/14;13,1;;24/06/14;13,95;;24/06/14;14,8
25/06/14;11,59;;25/06/14;12,65;;25/06/14;13,6;;25/06/14;14,45
26/06/14;11,63;;26/06/14;12,75;;26/06/14;13,6;;26/06/14;14,45
27/06/14;11,26;;27/06/14;12,65;;27/06/14;13,5;;27/06/14;14,4
30/06/14;11,57;;30/06/14;12,45;;30/06/14;13,35;;30/06/14;14,2
01/07/14;11,15;;01/07/14;12,1;;01/07/14;13,05;;01/07/14;13,95
02/07/14;10,82;;02/07/14;11,95;;02/07/14;12,9;;02/07/14;13,8
03/07/14;10,32;;03/07/14;11,8;;03/07/14;12,8;;03/07/14;13,7
07/07/14;11,33;;07/07/14;12,15;;07/07/14;13,05;;07/07/14;13,9
08/07/14;11,98;;08/07/14;12,4;;08/07/14;13,1;;08/07/14;13,95
09/07/14;11,65;;09/07/14;12,25;;09/07/14;12,85;;09/07/14;13,7
10/07/14;12,59;;10/07/14;13;;10/07/14;13,35;;10/07/14;14,05
11/07/14;12,08;;11/07/14;12,65;;11/07/14;13,2;;11/07/14;13,9
14/07/14;11,82;;14/07/14;12,05;;14/07/14;12,75;;14/07/14;13,45
15/07/14;11,96;;15/07/14;12,2;;15/07/14;13;;15/07/14;13,65
16/07/14;11;;16/07/14;12,7;;16/07/14;13,6;;16/07/14;14,4
17/07/14;14,54;;17/07/14;13,7;;17/07/14;14,25;;17/07/14;14,8
18/07/14;12,06;;18/07/14;13;;18/07/14;13,7;;18/07/14;14,4
21/07/14;12,81;;21/07/14;13,4;;21/07/14;13,95;;21/07/14;14,5
22/07/14;12,24;;22/07/14;13;;22/07/14;13,7;;22/07/14;14,35
23/07/14;11,52;;23/07/14;13,05;;23/07/14;13,85;;23/07/14;14,5
24/07/14;11,84;;24/07/14;13,2;;24/07/14;14,05;;24/07/14;14,65
25/07/14;12,69;;25/07/14;13,5;;25/07/14;14,3;;25/07/14;14,85
28/07/14;12,56;;28/07/14;13,35;;28/07/14;14,15;;28/07/14;14,75
29/07/14;13,28;;29/07/14;13,45;;29/07/14;14,2;;29/07/14;14,7
30/07/14;13,33;;30/07/14;13,55;;30/07/14;14,3;;30/07/14;14,8
31/07/14;16,95;;31/07/14;15,2;;31/07/14;15,5;;31/07/14;15,75
01/08/14;17,03;;01/08/14;16,05;;01/08/14;16,1;;01/08/14;16,25
04/08/14;15,12;;04/08/14;14,95;;04/08/14;15,35;;04/08/14;15,7
05/08/14;16,87;;05/08/14;16,15;;05/08/14;16,2;;05/08/14;16,45
06/08/14;16,37;;06/08/14;16,2;;06/08/14;16,3;;06/08/14;16,55
07/08/14;16,66;;07/08/14;16,65;;07/08/14;16,65;;07/08/14;16,95
08/08/14;15,77;;08/08/14;16;;08/08/14;16,15;;08/08/14;16,45
11/08/14;14,23;;11/08/14;14,8;;11/08/14;15,3;;11/08/14;15,8
12/08/14;14,13;;12/08/14;14,65;;12/08/14;15,15;;12/08/14;15,7
13/08/14;12,9;;13/08/14;13,55;;13/08/14;14,4;;13/08/14;15,05
14/08/14;12,42;;14/08/14;12,95;;14/08/14;13,9;;14/08/14;14,6
15/08/14;13,15;;15/08/14;13,25;;15/08/14;13,9;;15/08/14;14,55
18/08/14;12,32;;18/08/14;12,55;;18/08/14;13,4;;18/08/14;14,15
19/08/14;12,21;;19/08/14;12,2;;19/08/14;13,5;;19/08/14;14,1
20/08/14;11,78;;20/08/14;13,5;;20/08/14;14,2;;20/08/14;14,8
21/08/14;11,76;;21/08/14;13,4;;21/08/14;14,15;;21/08/14;14,8
22/08/14;11,47;;22/08/14;13,5;;22/08/14;14,25;;22/08/14;14,85
25/08/14;11,7;;25/08/14;13,35;;25/08/14;14,15;;25/08/14;14,8
26/08/14;11,63;;26/08/14;13,45;;26/08/14;14,35;;26/08/14;14,95
27/08/14;11,78;;27/08/14;13,55;;27/08/14;14,45;;27/08/14;15,05
28/08/14;12,05;;28/08/14;13,6;;28/08/14;14,45;;28/08/14;15,1
29/08/14;11,98;;29/08/14;13,8;;29/08/14;14,55;;29/08/14;15,2
02/09/14;12,25;;02/09/14;13,75;;02/09/14;14,65;;02/09/14;15,3
03/09/14;12,36;;03/09/14;13,5;;03/09/14;14,5;;03/09/14;15,15
04/09/14;12,64;;04/09/14;13,55;;04/09/14;14,45;;04/09/14;15,1
05/09/14;12,09;;05/09/14;13,2;;05/09/14;14,2;;05/09/14;14,9
08/09/14;12,66;;08/09/14;13,35;;08/09/14;14,25;;08/09/14;14,9
09/09/14;13,5;;09/09/14;13,85;;09/09/14;14,55;;09/09/14;15,05
10/09/14;12,88;;10/09/14;13,7;;10/09/14;14,5;;10/09/14;15
11/09/14;12,8;;11/09/14;13,55;;11/09/14;14,5;;11/09/14;15,05
12/09/14;13,31;;12/09/14;14,05;;12/09/14;14,8;;12/09/14;15,25
15/09/14;14,12;;15/09/14;14,4;;15/09/14;15,2;;15/09/14;15,6
16/09/14;12,73;;16/09/14;13,05;;16/09/14;14,4;;16/09/14;14,95
17/09/14;12,65;;17/09/14;14,25;;17/09/14;14,95;;17/09/14;15,4
18/09/14;12,03;;18/09/14;14,05;;18/09/14;14,8;;18/09/14;15,3
19/09/14;12,11;;19/09/14;14,15;;19/09/14;14,95;;19/09/14;15,4
22/09/14;13,69;;22/09/14;14,9;;22/09/14;15,45;;22/09/14;15,75
23/09/14;14,93;;23/09/14;15,4;;23/09/14;15,9;;23/09/14;16,2
24/09/14;13,27;;24/09/14;14,65;;24/09/14;15,35;;24/09/14;15,8
25/09/14;15,64;;25/09/14;15,8;;25/09/14;16,1;;25/09/14;16,35
26/09/14;15,77;;26/09/14;15,55;;26/09/14;15,94;;26/09/14;16,2
